tweet_id,user_id,camp_type,community,label
1658030188129648641,480138516,BLM - Bound,C3-2,toxic
1653925874033471494,1326167865242816512,BLM - Bound,C2-1,toxic
1658227871049973762,1604982032886636544,ALM - Bound,C5-2,toxic
1661209208035876865,883147630636916736,ALM - Crossing,C1-2,toxic
1657581936070766593,1565845811811889152,BLM - Bound,C3-2,toxic
1661211042305941504,1524464501780713472,ALM - Crossing,C1-2,toxic
1656696647232151553,1590058474037071872,BLM - Bound,C2-2,toxic
1655690932082155524,1355197040142262272,ALM - Crossing,C5-1,toxic
1656107987465826304,887756544204566528,BLM - Bound,C2-2,toxic
1661798893145735168,555832700,ALM - Bound,C1-1,toxic
1654324960331173891,1431250653242748928,ALM - Bound,C1-2,toxic
1658947992228073472,1509148907913236480,ALM - Bound,C1-2,toxic
1661771378251407368,109237362,ALM - Bound,C1-1,toxic
1660295220385267712,1509594465647923200,ALM - Bound,C1-1,toxic
1630690169912459264,1569632915319037952,ALM - Bound,C5-1,toxic
1658290376199884805,82709001,ALM - Bound,C1-1,toxic
1656766724866228229,1021061445675609984,BLM - Bound,C3-2,toxic
1658359693163790338,1621386501539119104,ALM - Bound,C1-1,toxic
1653806924163428359,1362578567557701632,BLM - Bound,C3-2,toxic
1658980940595560451,923361190968934400,ALM - Bound,C1-1,toxic
1655583282078023685,3035731245,ALM - Bound,C1-1,toxic
1654147501442625541,4924254321,BLM - Bound,C4-1,toxic
1660180853056741379,1085182619019628544,ALM - Crossing,C1-1,toxic
1652940891231846400,60849757,ALM - Crossing,C5-2,toxic
1656991272689606656,1519899295536791552,BLM - Bound,C2-1,toxic
1652971428277547014,1576280468345217024,ALM - Crossing,C1-2,toxic
1663433026196389895,1556553210,ALM - Bound,C1-1,toxic
1656004953389899785,901544704147423232,BLM - Bound,C2-1,toxic
1663884475879632897,1562950386868453376,ALM - Crossing,C1-1,toxic
1656293943397744640,18368355,BLM - Bound,C3-2,toxic
1653035197741531138,1585819054303952896,ALM - Bound,C1-1,toxic
1655163601529851906,899875723,BLM - Bound,C3-3,toxic
1660379069597331459,98062526,BLM - Bound,C3-1,toxic
1657043893563854849,57049338,ALM - Bound,C1-2,toxic
1655310510072512514,1193077441914429440,BLM - Crossing,C3-2,toxic
1655403880253931526,1677256254,ALM - Crossing,C1-2,toxic
1659013452684460034,1518736423997767680,ALM - Bound,C1-1,toxic
1655954862348312579,1905114859,ALM - Crossing,C1-2,toxic
1657746888290889729,1536817576260550912,ALM - Crossing,C1-1,toxic
1662136610224324611,2595115260,ALM - Bound,C1-1,toxic
1654430162837205006,844698900590145536,BLM - Bound,C3-1,toxic
1658327450365960194,1196292542175858688,ALM - Bound,C1-1,toxic
1655206042676994048,1573051689103511552,ALM - Bound,C5-2,toxic
1654684170071986177,1604104589036650496,ALM - Bound,C1-1,toxic
1656795077438500864,16196796,BLM - Bound,C3-2,toxic
1655643998231437312,1671330638,ALM - Bound,C5-2,toxic
1655763229237297153,2155207283,BLM - Crossing,C3-2,toxic
1654287508916809729,487770873,BLM - Bound,C3-1,toxic
1589680930746425344,878284831,BLM - Crossing,C3-1,toxic
1662851343067889664,1227064979704074240,ALM - Bound,C1-1,toxic
1653611371404185601,827382655469527040,BLM - Bound,C3-2,toxic
1654210632101576706,1532771394458722304,ALM - Bound,C1-1,toxic
1656711591260307463,1599785880331423488,ALM - Bound,C7-1,toxic
1654684331112013825,1547193948246097920,ALM - Crossing,C1-2,toxic
1658307046561701889,1270179072937779200,BLM - Bound,C3-2,toxic
1653308104929361923,1003505760456753152,BLM - Bound,C3-2,toxic
1658449756786507776,1014054773648175104,BLM - Bound,C3-2,toxic
1654498565941501954,369123694,ALM - Crossing,C1-2,toxic
1653368897800663040,845857958546358272,BLM - Bound,C2-1,toxic
1662600913641689088,65947064,BLM - Bound,C3-1,toxic
1656770682074681345,1308433663839928320,ALM - Bound,C5-2,toxic
1652978822944555008,1526540296204750848,ALM - Crossing,C1-1,toxic
1659201283117707268,1488778057934643200,BLM - Bound,C2-2,toxic
1662825760128638977,1600699765737521152,BLM - Crossing,C3-3,toxic
1654572085346271232,49915676,ALM - Bound,C1-1,toxic
1654652476635877378,283486961,ALM - Bound,C1-2,toxic
1390701908122275844,1266069905956376576,BLM - Crossing,C2-1,toxic
1654540090549362690,2148317009,BLM - Bound,C3-1,toxic
1654550875547881473,3127156630,ALM - Bound,C1-1,toxic
1656381644360564739,2876378805,ALM - Crossing,C1-2,toxic
1653008021423808512,712344764,BLM - Bound,C3-2,toxic
1656021745386569728,1266380693506076672,ALM - Bound,C1-3,toxic
1658034167626493952,798244184469753856,ALM - Bound,C7-1,toxic
1656565262160650242,985087252186435584,ALM - Bound,C5-2,toxic
1658843738901282816,776235660449452032,ALM - Bound,C1-1,toxic
1655318379996098560,1417803741483474944,ALM - Bound,C5-2,toxic
1655693434793893893,1080666845282214016,BLM - Bound,C3-2,toxic
1653043281922514944,1532319669801172992,ALM - Bound,C5-2,toxic
1658254334432247808,1355007363481124864,BLM - Bound,C3-2,toxic
1655347294538018820,212049740,BLM - Bound,C2-1,toxic
1655903920277929985,2497076456,ALM - Bound,C1-1,toxic
1653579287931256834,1194298848035921920,BLM - Bound,C3-3,toxic
1656712391659339783,219520718,BLM - Bound,C2-2,toxic
1656712216274518041,16731687,BLM - Bound,C2-2,toxic
1656332532743323648,1260998413,BLM - Crossing,C6-2,toxic
