tweet_id,user_id,camp_type,community,annotator_1,annotator_2,annotator_3,final_label,prediction
1655384120514543622,976574666495184768,ALM - Crossing,C1-2,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1656338910400720896,1440695156546494464,ALM - Crossing,C5-1,toxic,toxic,toxic,toxic,non-toxic
1655299726898610178,1536373979790835712,ALM - Crossing,C1-2,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1656401365726273540,1486097762,ALM - Crossing,C1-1,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1656506544207572992,1046559976834158592,ALM - Crossing,C7-2,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1653512909429911563,1594517869412421632,ALM - Crossing,C1-2,toxic,toxic,toxic,toxic,toxic
1655396376174538755,1614172075824144384,ALM - Crossing,C7-2,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1656373745173532674,393469195,ALM - Crossing,C1-2,toxic,non-toxic,non-toxic,non-toxic,non-toxic
1657556578814369793,2597697199,ALM - Crossing,C5-1,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1661006791424245765,1473246511207223296,ALM - Crossing,C1-2,toxic,toxic,toxic,toxic,toxic
1654931516235960323,1597300634902044672,ALM - Crossing,C1-1,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1656332436639297537,2449913803,ALM - Crossing,C1-1,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1656964465525399552,56443453,ALM - Crossing,C1-1,toxic,toxic,toxic,toxic,toxic
1654536672078438400,369251276,ALM - Crossing,C1-1,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1656379104730529793,27995424,ALM - Crossing,C1-1,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1654884875562876930,1272304420798304512,ALM - Crossing,C5-1,non-toxic,non-toxic,toxic,non-toxic,non-toxic
1657853339583823872,1290880988420042752,ALM - Crossing,C1-2,toxic,toxic,toxic,toxic,toxic
1655752714461278208,2835451658,ALM - Crossing,C1-1,toxic,toxic,toxic,toxic,toxic
1653813957197721600,20545835,ALM - Crossing,C1-1,non-toxic,toxic,non-toxic,non-toxic,non-toxic
1653661573582565378,339794231,ALM - Crossing,C1-2,toxic,toxic,toxic,toxic,toxic
1657189683095392260,2375863494,ALM - Crossing,C1-2,non-toxic,toxic,non-toxic,non-toxic,non-toxic
1655352560814002179,1654412989,ALM - Crossing,C1-1,toxic,toxic,toxic,toxic,toxic
1655387326967873536,19426419,ALM - Crossing,C1-2,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1655756569659822081,444054117,ALM - Crossing,C1-2,toxic,toxic,toxic,toxic,toxic
1653345498969907201,1430605174674964480,ALM - Crossing,C7-2,non-toxic,toxic,non-toxic,non-toxic,non-toxic
1655393666821677056,34857889,ALM - Crossing,C1-1,toxic,toxic,toxic,toxic,toxic
1654139937837535232,749486722677964800,ALM - Crossing,C5-1,toxic,toxic,toxic,toxic,toxic
1655438498675998720,1538420721818427392,ALM - Crossing,C1-1,non-toxic,toxic,non-toxic,non-toxic,non-toxic
1657087745779458066,1579158344614481920,ALM - Crossing,C5-2,toxic,non-toxic,toxic,toxic,toxic
1653128144038010886,406503026,ALM - Crossing,C5-2,non-toxic,toxic,non-toxic,non-toxic,non-toxic
1657363956237848576,895286614431346688,ALM - Crossing,C7-2,non-toxic,toxic,toxic,toxic,toxic
1646251055800553472,1508547456677543936,ALM - Crossing,C1-2,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1656719098594615296,1519328638885376000,ALM - Crossing,C1-1,toxic,non-toxic,non-toxic,non-toxic,non-toxic
1657124542551138305,1368166640978911232,ALM - Crossing,C5-2,toxic,non-toxic,toxic,toxic,toxic
1654338305612451841,1578210487325847552,ALM - Crossing,C1-2,toxic,toxic,toxic,toxic,toxic
1657046454853152771,18929234,ALM - Crossing,C1-1,toxic,non-toxic,toxic,toxic,toxic
1653910249038905344,34280715,ALM - Crossing,C1-2,toxic,toxic,toxic,toxic,toxic
1655337565665259521,1315731177328828416,ALM - Crossing,C1-1,toxic,toxic,toxic,toxic,non-toxic
1656821190839930882,890061634181373952,ALM - Crossing,C1-1,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1653991610101940226,1511961426365235200,ALM - Crossing,C5-2,toxic,toxic,toxic,toxic,non-toxic
1655781620471975936,1595990109132058624,ALM - Crossing,C1-1,toxic,toxic,toxic,toxic,non-toxic
1655258174994120705,1491443521953411072,ALM - Crossing,C1-2,toxic,non-toxic,non-toxic,non-toxic,non-toxic
1655250998409977858,1596581559661903872,ALM - Crossing,C1-2,toxic,toxic,toxic,toxic,toxic
1653822484540542977,1548445354185568512,ALM - Crossing,C1-2,non-toxic,toxic,non-toxic,non-toxic,non-toxic
1654794432216965124,1581751113874800640,ALM - Crossing,C7-1,non-toxic,toxic,non-toxic,non-toxic,non-toxic
1653405998525341697,2455478245,ALM - Crossing,C1-1,toxic,toxic,toxic,toxic,toxic
1653024393352577027,2369768563,ALM - Crossing,C1-1,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1649858107852587009,20545835,ALM - Crossing,C1-1,toxic,toxic,toxic,toxic,toxic
1657109270482112532,2199020853,ALM - Crossing,C5-1,non-toxic,toxic,non-toxic,non-toxic,non-toxic
1656348784690089984,979347434064306176,ALM - Crossing,C1-2,toxic,non-toxic,non-toxic,non-toxic,non-toxic
1655362008919818240,198006777,ALM - Crossing,C1-2,toxic,toxic,toxic,toxic,toxic
1655300611032911872,1586126942834548736,ALM - Crossing,C1-2,toxic,toxic,non-toxic,toxic,non-toxic
1656981845219655681,2879980954,ALM - Crossing,C1-1,non-toxic,toxic,non-toxic,non-toxic,non-toxic
1655632275621527552,1524176049113861888,ALM - Crossing,C7-1,toxic,toxic,non-toxic,toxic,toxic
1653161018090987521,1552695105320095488,ALM - Crossing,C1-2,toxic,non-toxic,toxic,toxic,toxic
1657415434801479680,1512523999066083328,ALM - Crossing,C1-2,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1656258767674306561,1237368936351461376,ALM - Crossing,C1-2,toxic,non-toxic,toxic,toxic,toxic
1655043395461718021,1485689970593468416,ALM - Crossing,C1-3,non-toxic,toxic,non-toxic,non-toxic,non-toxic
1655407806135033861,1311331952952250368,ALM - Crossing,C1-2,toxic,toxic,toxic,toxic,toxic
1655544293971337218,1316188390665195520,ALM - Crossing,C1-2,toxic,non-toxic,toxic,toxic,toxic
1656474335610060801,722528529716383744,ALM - Crossing,C1-1,non-toxic,toxic,non-toxic,non-toxic,non-toxic
1654958974507290626,905374200,ALM - Crossing,C1-1,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1652727846228443136,826065164504006656,ALM - Crossing,C1-1,non-toxic,toxic,toxic,toxic,toxic
1653501812299943936,1649520524777881600,ALM - Crossing,C1-1,non-toxic,non-toxic,non-toxic,non-toxic,non-toxic
1657390141403697152,16029493,ALM - Crossing,C1-2,toxic,non-toxic,toxic,toxic,toxic
